Check,Cross,Sound_P,Sound_N,Import.thisRepN,Import.thisTrialN,Import.thisN,Import.thisIndex,SS_Prac_Block_Loop.thisRepN,SS_Prac_Block_Loop.thisTrialN,SS_Prac_Block_Loop.thisN,SS_Prac_Block_Loop.thisIndex,SS_Prac_Instr_Loop.thisRepN,SS_Prac_Instr_Loop.thisTrialN,SS_Prac_Instr_Loop.thisN,SS_Prac_Instr_Loop.thisIndex,SS_Prac_Trial_Loop.thisRepN,SS_Prac_Trial_Loop.thisTrialN,SS_Prac_Trial_Loop.thisN,SS_Prac_Trial_Loop.thisIndex,SS_Block_Loop.thisRepN,SS_Block_Loop.thisTrialN,SS_Block_Loop.thisN,SS_Block_Loop.thisIndex,Show_Instr_Bool.thisRepN,Show_Instr_Bool.thisTrialN,Show_Instr_Bool.thisN,Show_Instr_Bool.thisIndex,SS_Instr_Loop.thisRepN,SS_Instr_Loop.thisTrialN,SS_Instr_Loop.thisN,SS_Instr_Loop.thisIndex,SS_Trial_Loop.thisRepN,SS_Trial_Loop.thisTrialN,SS_Trial_Loop.thisN,SS_Trial_Loop.thisIndex,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Line_SS_Instr_PreTrial.started,Line_SS_Instr_PreTrial.stopped,Circle_SS_Instr_PreTrial.started,Circle_SS_Instr_PreTrial.stopped,Score_SS_Intr_PreTrial.started,Score_SS_Intr_PreTrial.stopped,Ball_SS_Instr_PreTrial.started,Ball_SS_Instr_PreTrial.stopped,Text_1_SS_Instr_PreTrial.started,Text_1_SS_Instr_PreTrial.stopped,Text_2_SS_Instr_PreTrial.started,Text_2_SS_Instr_PreTrial.stopped,Text_3_SS_Instr_PreTrial.started,Text_3_SS_Instr_PreTrial.stopped,Resp_SS_Instr_PreTrial.keys,Resp_SS_Instr_PreTrial.started,Resp_SS_Instr_PreTrial.stopped,Line_SS_Instr_MainTrial.started,Line_SS_Instr_MainTrial.stopped,Score_SS_Instr_MainTrial.started,Score_SS_Instr_MainTrial.stopped,Ball_SS_Instr_MainTrial.started,Ball_SS_Instr_MainTrial.stopped,Text_1_SS_Instr_MainTrial.started,Text_1_SS_Instr_MainTrial.stopped,Text_2_SS_Instr_MainTrial.started,Text_2_SS_Instr_MainTrial.stopped,Text_3_SS_Instr_MainTrial.started,Text_3_SS_Instr_MainTrial.stopped,Resp_SS_Instr_MainTrial.keys,Resp_SS_Instr_MainTrial.rt,Resp_SS_Instr_MainTrial.started,Resp_SS_Instr_MainTrial.stopped,Resp_SS_Instr_PreTrial.rt,Line_SS_Prac_CountDown.started,Line_SS_Prac_CountDown.stopped,Text_SS_Prac_CountDown.started,Text_SS_Prac_CountDown.stopped,Score_SS_Prac_CountDown.started,Score_SS_Prac_CountDown.stopped,Line_SS_Prac_PreTrial.started,Line_SS_Prac_PreTrial.stopped,Score_SS_Prac_PreTrial.started,Score_SS_Prac_PreTrial.stopped,Circle_SS_Prac_PreTrial.started,Circle_SS_Prac_PreTrial.stopped,Ball_SS_Prac_PreTrial.started,Ball_SS_Prac_PreTrial.stopped,Line_SS_Prac_MainTrial.started,Line_SS_Prac_MainTrial.stopped,Score_SS_Prac_MainTrial.started,Score_SS_Prac_MainTrial.stopped,Ball_SS_Prac_MainTrial.started,Ball_SS_Prac_MainTrial.stopped,Resp_SS_Prac_MainTrial.keys,Resp_SS_Prac_MainTrial.rt,Resp_SS_Prac_MainTrial.started,Resp_SS_Prac_MainTrial.stopped,Practice,grp,go_color,default_color,block_num,dt,ct,key,rt,Correct,trial_Count,session,Sound_SS_Prac_PostTrial.started,Sound_SS_Prac_PostTrial.stopped,Line_SS_Prac_PostTrial.started,Line_SS_Prac_PostTrial.stopped,Image_SS_Prac_PostTrial.started,Image_SS_Prac_PostTrial.stopped,Score_SS_Prac_PostTrial.started,Score_SS_Prac_PostTrial.stopped,Ball_SS_Prac_PostTrial.started,Ball_SS_Prac_PostTrial.stopped,Instr_SS_Text.started,Instr_SS_Text.stopped,Instr_SS_Key.keys,Instr_SS_Key.rt,Instr_SS_Key.started,Instr_SS_Key.stopped,Text_Instr_Block_Num.started,Text_Instr_Block_Num.stopped,Resp_Instr_Block_Num.keys,Resp_Instr_Block_Num.rt,Resp_Instr_Block_Num.started,Resp_Instr_Block_Num.stopped,Line_SS_CountDown.started,Line_SS_CountDown.stopped,Text_SS_CountDown.started,Text_SS_CountDown.stopped,Line_SS_PreTrial.started,Line_SS_PreTrial.stopped,Circle_SS_PreTrial.started,Circle_SS_PreTrial.stopped,Ball_SS_PreTrial.started,Ball_SS_PreTrial.stopped,Line_SS_MainTrial.started,Line_SS_MainTrial.stopped,Ball_SS_MainTrial.started,Ball_SS_MainTrial.stopped,Resp_SS_MainTrial.keys,Resp_SS_MainTrial.rt,Resp_SS_MainTrial.started,Resp_SS_MainTrial.stopped,Sound_SS_PostTrial.started,Sound_SS_PostTrial.stopped,Line_SS_PostTrial.started,Line_SS_PostTrial.stopped,Image_SS_PostTrial.started,Image_SS_PostTrial.stopped,Ball_SS_PostTrial.started,Ball_SS_PostTrial.stopped,participant,session,date,expName,psychopyVersion,frameRate,
media/check.png,media/cross.png,media/coin.wav,media/buzz.wav,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1926,Stop_Signal_Drop,2020.1.3,59.90079233333864,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.581341000040993,None,space,0.6835485999472439,17.581341000040993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1926,Stop_Signal_Drop,2020.1.3,59.90079233333864,
,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,32.33072130009532,None,32.33072130009532,None,32.33072130009532,None,32.33072130009532,None,32.33072130009532,None,32.33072130009532,None,32.33072130009532,None,j,32.33072130009532,None,32.95041770010721,None,32.95041770010721,None,32.95041770010721,None,32.95041770010721,None,32.95041770010721,None,32.95041770010721,None,None,0.5495148999616504,32.95041770010721,None,0.478267400059849,33.588114400045015,None,33.588114400045015,None,33.588114400045015,None,36.574776599998586,None,36.574776599998586,None,36.574776599998586,None,36.574776599998586,None,37.196644600015134,None,37.196644600015134,None,37.196644600015134,None,j,0.4764708000002429,37.196644600015134,None,1,0,"[-1, -1, -1]","[-1, -1, -1]",1,-98.5,99,j,0.4764708000002429,1,0,1,37.75263886011671,None,37.78165910008829,None,37.78165910008829,None,37.78165910008829,None,37.78165910008829,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1926,Stop_Signal_Drop,2020.1.3,59.90079233333864,
,,,,,,,,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.30691690009553,None,38.30691690009553,None,38.30691690009553,None,38.30691690009553,None,38.941160100046545,None,38.941160100046545,None,38.941160100046545,None,j,0.4919486000435427,38.941160100046545,None,1,0,"[-1, -1, -1]","[-1, -1, -1]",1,-98.5,99,j,0.4919486000435427,1,1,1,39.502787060081026,None,39.503158100065775,None,39.503158100065775,None,39.503158100065775,None,39.503158100065775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1926,Stop_Signal_Drop,2020.1.3,59.90079233333864,
,,,,,,,,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.02995500003453,None,40.02995500003453,None,40.02995500003453,None,40.02995500003453,None,40.65235860005487,None,40.65235860005487,None,40.65235860005487,None,j,0.4925880000228062,40.65235860005487,None,1,0,"[-1, -1, -1]","[-1, -1, -1]",1,-98.5,99,j,0.4925880000228062,1,2,1,41.219417060003614,None,41.2179922000505,None,41.2179922000505,None,41.2179922000505,None,41.2179922000505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1926,Stop_Signal_Drop,2020.1.3,59.90079233333864,
,,,,,,,,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.75706190010533,None,41.75706190010533,None,41.75706190010533,None,41.75706190010533,None,42.38067480002064,None,42.38067480002064,None,42.38067480002064,None,j,0.5083204000256956,42.38067480002064,None,1,0,"[-1, -1, -1]","[-1, -1, -1]",1,-98.5,99,j,0.5083204000256956,1,3,1,42.96956686009653,None,42.9646064999979,None,42.9646064999979,None,42.9646064999979,None,42.9646064999979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1926,Stop_Signal_Drop,2020.1.3,59.90079233333864,
,,,,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,58.72089690004941,None,58.72089690004941,None,58.72089690004941,None,58.72089690004941,None,58.72089690004941,None,58.72089690004941,None,58.72089690004941,None,j,58.72089690004941,None,59.354375900002196,None,59.354375900002196,None,59.354375900002196,None,59.354375900002196,None,59.354375900002196,None,59.354375900002196,None,None,0.49335010000504553,59.354375900002196,None,0.22435930010396987,59.997683500056155,None,59.997683500056155,None,59.997683500056155,None,62.99227060005069,None,62.99227060005069,None,62.99227060005069,None,62.99227060005069,None,63.6189849000657,None,63.6189849000657,None,63.6189849000657,None,j,0.478293800028041,63.6189849000657,None,1,0,"[-1, -1, -1]","[-1, -1, -1]",2,-98.5,99,j,0.478293800028041,1,0,1,64.18725125008496,None,64.19021980010439,None,64.19021980010439,None,64.19021980010439,None,64.19021980010439,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1926,Stop_Signal_Drop,2020.1.3,59.90079233333864,
,,,,,,,,1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.73324150010012,None,64.73324150010012,None,64.73324150010012,None,64.73324150010012,None,65.3483556000283,None,65.3483556000283,None,65.3483556000283,None,j,0.49264840001706034,65.3483556000283,None,1,0,"[-1, -1, -1]","[-1, -1, -1]",2,-98.5,99,j,0.49264840001706034,1,1,1,65.92008526003919,None,65.9221599000739,None,65.9221599000739,None,65.9221599000739,None,65.9221599000739,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1926,Stop_Signal_Drop,2020.1.3,59.90079233333864,
,,,,,,,,1,0,1,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.47166360006668,None,66.47166360006668,None,66.47166360006668,None,66.47166360006668,None,67.09764090005774,None,67.09764090005774,None,67.09764090005774,None,j,0.5114552000304684,67.09764090005774,None,1,0,"[-1, -1, -1]","[-1, -1, -1]",2,-98.5,99,j,0.5114552000304684,1,2,1,67.68653656004462,None,67.68411370005924,None,67.68411370005924,None,67.68411370005924,None,67.68411370005924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1926,Stop_Signal_Drop,2020.1.3,59.90079233333864,
,,,,,,,,1,0,1,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.23234960006084,None,68.23234960006084,None,68.23234960006084,None,68.23234960006084,None,68.84456660004798,None,68.84456660004798,None,68.84456660004798,None,j,0.5164889999432489,68.84456660004798,None,1,0,"[-1, -1, -1]","[-1, -1, -1]",2,-98.5,99,j,0.5164889999432489,1,3,1,69.43651196009013,None,69.43476780003402,None,69.43476780003402,None,69.43476780003402,None,69.43476780003402,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1926,Stop_Signal_Drop,2020.1.3,59.90079233333864,
