Check,Cross,Sound_P,Sound_N,Import.thisRepN,Import.thisTrialN,Import.thisN,Import.thisIndex,SS_Prac_Block_Loop.thisRepN,SS_Prac_Block_Loop.thisTrialN,SS_Prac_Block_Loop.thisN,SS_Prac_Block_Loop.thisIndex,SS_Prac_Instr_Loop.thisRepN,SS_Prac_Instr_Loop.thisTrialN,SS_Prac_Instr_Loop.thisN,SS_Prac_Instr_Loop.thisIndex,SS_Prac_Trial_Loop.thisRepN,SS_Prac_Trial_Loop.thisTrialN,SS_Prac_Trial_Loop.thisN,SS_Prac_Trial_Loop.thisIndex,SS_Block_Loop.thisRepN,SS_Block_Loop.thisTrialN,SS_Block_Loop.thisN,SS_Block_Loop.thisIndex,Show_Instr_Bool.thisRepN,Show_Instr_Bool.thisTrialN,Show_Instr_Bool.thisN,Show_Instr_Bool.thisIndex,SS_Instr_Loop.thisRepN,SS_Instr_Loop.thisTrialN,SS_Instr_Loop.thisN,SS_Instr_Loop.thisIndex,SS_Trial_Loop.thisRepN,SS_Trial_Loop.thisTrialN,SS_Trial_Loop.thisN,SS_Trial_Loop.thisIndex,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Line_SS_Instr_PreTrial.started,Line_SS_Instr_PreTrial.stopped,Circle_SS_Instr_PreTrial.started,Circle_SS_Instr_PreTrial.stopped,Score_SS_Intr_PreTrial.started,Score_SS_Intr_PreTrial.stopped,Ball_SS_Instr_PreTrial.started,Ball_SS_Instr_PreTrial.stopped,Text_1_SS_Instr_PreTrial.started,Text_1_SS_Instr_PreTrial.stopped,Text_2_SS_Instr_PreTrial.started,Text_2_SS_Instr_PreTrial.stopped,Text_3_SS_Instr_PreTrial.started,Text_3_SS_Instr_PreTrial.stopped,Resp_SS_Instr_PreTrial.keys,Resp_SS_Instr_PreTrial.started,Resp_SS_Instr_PreTrial.stopped,Line_SS_Instr_MainTrial.started,Line_SS_Instr_MainTrial.stopped,Score_SS_Instr_MainTrial.started,Score_SS_Instr_MainTrial.stopped,Ball_SS_Instr_MainTrial.started,Ball_SS_Instr_MainTrial.stopped,Text_1_SS_Instr_MainTrial.started,Text_1_SS_Instr_MainTrial.stopped,Text_2_SS_Instr_MainTrial.started,Text_2_SS_Instr_MainTrial.stopped,Text_3_SS_Instr_MainTrial.started,Text_3_SS_Instr_MainTrial.stopped,Resp_SS_Instr_MainTrial.keys,Resp_SS_Instr_MainTrial.started,Resp_SS_Instr_MainTrial.stopped,Resp_SS_Instr_PreTrial.rt,Line_SS_Prac_CountDown.started,Line_SS_Prac_CountDown.stopped,Text_SS_Prac_CountDown.started,Text_SS_Prac_CountDown.stopped,Score_SS_Prac_CountDown.started,Score_SS_Prac_CountDown.stopped,Line_SS_Prac_PreTrial.started,Line_SS_Prac_PreTrial.stopped,Score_SS_Prac_PreTrial.started,Score_SS_Prac_PreTrial.stopped,Circle_SS_Prac_PreTrial.started,Circle_SS_Prac_PreTrial.stopped,Ball_SS_Prac_PreTrial.started,Ball_SS_Prac_PreTrial.stopped,Line_SS_Prac_MainTrial.started,Line_SS_Prac_MainTrial.stopped,Score_SS_Prac_MainTrial.started,Score_SS_Prac_MainTrial.stopped,Ball_SS_Prac_MainTrial.started,Ball_SS_Prac_MainTrial.stopped,Resp_SS_Prac_MainTrial.keys,Resp_SS_Prac_MainTrial.rt,Resp_SS_Prac_MainTrial.started,Resp_SS_Prac_MainTrial.stopped,Practice,grp,go_color,default_color,block_num,dt,ct,key,rt,Correct,trial_Count,session,Sound_SS_Prac_PostTrial.started,Sound_SS_Prac_PostTrial.stopped,Line_SS_Prac_PostTrial.started,Line_SS_Prac_PostTrial.stopped,Image_SS_Prac_PostTrial.started,Image_SS_Prac_PostTrial.stopped,Score_SS_Prac_PostTrial.started,Score_SS_Prac_PostTrial.stopped,Ball_SS_Prac_PostTrial.started,Ball_SS_Prac_PostTrial.stopped,Resp_SS_Instr_MainTrial.rt,Instr_SS_Text.started,Instr_SS_Text.stopped,Instr_SS_Key.keys,Instr_SS_Key.rt,Instr_SS_Key.started,Instr_SS_Key.stopped,Text_Instr_Block_Num.started,Text_Instr_Block_Num.stopped,Resp_Instr_Block_Num.keys,Resp_Instr_Block_Num.rt,Resp_Instr_Block_Num.started,Resp_Instr_Block_Num.stopped,Line_SS_CountDown.started,Line_SS_CountDown.stopped,Text_SS_CountDown.started,Text_SS_CountDown.stopped,Line_SS_PreTrial.started,Line_SS_PreTrial.stopped,Circle_SS_PreTrial.started,Circle_SS_PreTrial.stopped,Ball_SS_PreTrial.started,Ball_SS_PreTrial.stopped,Line_SS_MainTrial.started,Line_SS_MainTrial.stopped,Ball_SS_MainTrial.started,Ball_SS_MainTrial.stopped,Resp_SS_MainTrial.keys,Resp_SS_MainTrial.rt,Resp_SS_MainTrial.started,Resp_SS_MainTrial.stopped,Sound_SS_PostTrial.started,Sound_SS_PostTrial.stopped,Line_SS_PostTrial.started,Line_SS_PostTrial.stopped,Image_SS_PostTrial.started,Image_SS_PostTrial.stopped,Ball_SS_PostTrial.started,Ball_SS_PostTrial.stopped,participant,session,date,expName,psychopyVersion,frameRate,
media/check.png,media/cross.png,media/coin.wav,media/buzz.wav,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1937,Stop_Signal_Drop,2020.1.3,61.04510436590356,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.521038600010797,None,space,0.5246310000075027,9.521038600010797,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1937,Stop_Signal_Drop,2020.1.3,61.04510436590356,
,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,24.05950740003027,None,24.05950740003027,None,24.05950740003027,None,24.05950740003027,None,24.05950740003027,None,24.05950740003027,None,24.05950740003027,None,j,24.05950740003027,None,24.678406700026244,None,24.678406700026244,None,24.678406700026244,None,24.678406700026244,None,24.678406700026244,None,24.678406700026244,None,None,24.678406700026244,None,0.5141182999359444,25.309892100049183,None,25.309892100049183,None,25.309892100049183,None,28.302653099992312,None,28.302653099992312,None,28.302653099992312,None,28.302653099992312,None,28.93578419997357,None,28.93578419997357,None,28.93578419997357,None,j,0.509762900066562,28.93578419997357,None,1,0,"[-1, -1, -1]","[-1, -1, -1]",1,-98.5,99,j,0.509762900066562,1,0,1,29.5653749899473,None,29.58939510001801,None,29.58939510001801,None,29.58939510001801,None,29.58939510001801,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1937,Stop_Signal_Drop,2020.1.3,61.04510436590356,
,,,,,,,,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.09499589994084,None,30.09499589994084,None,30.09499589994084,None,30.09499589994084,None,30.710325799998827,None,30.710325799998827,None,30.710325799998827,None,j,0.4949134000344202,30.710325799998827,None,1,0,"[-1, -1, -1]","[-1, -1, -1]",1,-98.5,99,j,0.4949134000344202,1,1,1,31.281968980003146,None,31.28050939994864,None,31.28050939994864,None,31.28050939994864,None,31.28050939994864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1937,Stop_Signal_Drop,2020.1.3,61.04510436590356,
,,,,,,,,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.805875599966384,None,31.805875599966384,None,31.805875599966384,None,31.805875599966384,None,32.42455749993678,None,32.42455749993678,None,32.42455749993678,None,j,0.5006445999024436,32.42455749993678,None,1,0,"[-1, -1, -1]","[-1, -1, -1]",1,-98.5,99,j,0.5006445999024436,1,2,1,33.01513585005887,None,33.00726590002887,None,33.00726590002887,None,33.00726590002887,None,33.00726590002887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1937,Stop_Signal_Drop,2020.1.3,61.04510436590356,
,,,,,,,,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.53823810000904,None,33.53823810000904,None,33.53823810000904,None,33.53823810000904,None,34.16430840000976,None,34.16430840000976,None,34.16430840000976,None,j,0.4972046000184491,34.16430840000976,None,1,0,"[-1, -1, -1]","[-1, -1, -1]",1,-98.5,99,j,0.4972046000184491,1,3,1,34.733418780053036,None,34.73565139994025,None,34.73565139994025,None,34.73565139994025,None,34.73565139994025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1937,Stop_Signal_Drop,2020.1.3,61.04510436590356,
,,,,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,50.54385140002705,None,50.54385140002705,None,50.54385140002705,None,50.54385140002705,None,50.54385140002705,None,50.54385140002705,None,50.54385140002705,None,j,50.54385140002705,None,51.16508820001036,None,51.16508820001036,None,51.16508820001036,None,51.16508820001036,None,51.16508820001036,None,51.16508820001036,None,None,51.16508820001036,None,0.4939043000340462,51.810945700039156,None,51.810945700039156,None,51.810945700039156,None,54.80121659999713,None,54.80121659999713,None,54.80121659999713,None,54.80121659999713,None,55.410008499980904,None,55.410008499980904,None,55.410008499980904,None,j,0.515367400017567,55.410008499980904,None,1,0,"[-1, -1, -1]","[-1, -1, -1]",2,-98.5,99,j,0.515367400017567,1,0,1,56.01566154998727,None,56.021213199943304,None,56.021213199943304,None,56.021213199943304,None,56.021213199943304,None,0.5434586999472231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1937,Stop_Signal_Drop,2020.1.3,61.04510436590356,
,,,,,,,,1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.56093989999499,None,56.56093989999499,None,56.56093989999499,None,56.56093989999499,None,57.17862050002441,None,57.17862050002441,None,57.17862050002441,None,j,0.5067405999870971,57.17862050002441,None,1,0,"[-1, -1, -1]","[-1, -1, -1]",2,-98.5,99,j,0.5067405999870971,1,1,1,57.78421884996351,None,57.78399389993865,None,57.78399389993865,None,57.78399389993865,None,57.78399389993865,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1937,Stop_Signal_Drop,2020.1.3,61.04510436590356,
,,,,,,,,1,0,1,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.3317076000385,None,58.3317076000385,None,58.3317076000385,None,58.3317076000385,None,58.957130900002085,None,58.957130900002085,None,58.957130900002085,None,j,0.5044665000168607,58.957130900002085,None,1,0,"[-1, -1, -1]","[-1, -1, -1]",2,-98.5,99,j,0.5044665000168607,1,2,1,59.550387650029734,None,59.54297710000537,None,59.54297710000537,None,59.54297710000537,None,59.54297710000537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1937,Stop_Signal_Drop,2020.1.3,61.04510436590356,
,,,,,,,,1,0,1,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.07287200004794,None,60.07287200004794,None,60.07287200004794,None,60.07287200004794,None,60.694881599978544,None,60.694881599978544,None,60.694881599978544,None,j,0.5263331000460312,60.694881599978544,None,1,0,"[-1, -1, -1]","[-1, -1, -1]",2,-98.5,99,j,0.5263331000460312,1,3,1,61.299160679942,None,61.29711080004927,None,61.29711080004927,None,61.29711080004927,None,61.29711080004927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1937,Stop_Signal_Drop,2020.1.3,61.04510436590356,
