Check,Cross,Sound_P,Sound_N,Import.thisRepN,Import.thisTrialN,Import.thisN,Import.thisIndex,SS_Prac_Block_Loop.thisRepN,SS_Prac_Block_Loop.thisTrialN,SS_Prac_Block_Loop.thisN,SS_Prac_Block_Loop.thisIndex,SS_Prac_Instr_Loop.thisRepN,SS_Prac_Instr_Loop.thisTrialN,SS_Prac_Instr_Loop.thisN,SS_Prac_Instr_Loop.thisIndex,SS_Prac_Trial_Loop.thisRepN,SS_Prac_Trial_Loop.thisTrialN,SS_Prac_Trial_Loop.thisN,SS_Prac_Trial_Loop.thisIndex,SS_Block_Loop.thisRepN,SS_Block_Loop.thisTrialN,SS_Block_Loop.thisN,SS_Block_Loop.thisIndex,Show_Instr_Bool.thisRepN,Show_Instr_Bool.thisTrialN,Show_Instr_Bool.thisN,Show_Instr_Bool.thisIndex,SS_Instr_Loop.thisRepN,SS_Instr_Loop.thisTrialN,SS_Instr_Loop.thisN,SS_Instr_Loop.thisIndex,SS_Trial_Loop.thisRepN,SS_Trial_Loop.thisTrialN,SS_Trial_Loop.thisN,SS_Trial_Loop.thisIndex,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Line_SS_Instr_PreTrial.started,Line_SS_Instr_PreTrial.stopped,Circle_SS_Instr_PreTrial.started,Circle_SS_Instr_PreTrial.stopped,Score_SS_Intr_PreTrial.started,Score_SS_Intr_PreTrial.stopped,Ball_SS_Instr_PreTrial.started,Ball_SS_Instr_PreTrial.stopped,Text_1_SS_Instr_PreTrial.started,Text_1_SS_Instr_PreTrial.stopped,Text_2_SS_Instr_PreTrial.started,Text_2_SS_Instr_PreTrial.stopped,Text_3_SS_Instr_PreTrial.started,Text_3_SS_Instr_PreTrial.stopped,Resp_SS_Instr_PreTrial.keys,Resp_SS_Instr_PreTrial.started,Resp_SS_Instr_PreTrial.stopped,Line_SS_Instr_MainTrial.started,Line_SS_Instr_MainTrial.stopped,Score_SS_Instr_MainTrial.started,Score_SS_Instr_MainTrial.stopped,Ball_SS_Instr_MainTrial.started,Ball_SS_Instr_MainTrial.stopped,Text_1_SS_Instr_MainTrial.started,Text_1_SS_Instr_MainTrial.stopped,Text_2_SS_Instr_MainTrial.started,Text_2_SS_Instr_MainTrial.stopped,Text_3_SS_Instr_MainTrial.started,Text_3_SS_Instr_MainTrial.stopped,Resp_SS_Instr_MainTrial.keys,Resp_SS_Instr_MainTrial.rt,Resp_SS_Instr_MainTrial.started,Resp_SS_Instr_MainTrial.stopped,Line_SS_Prac_CountDown.started,Line_SS_Prac_CountDown.stopped,Text_SS_Prac_CountDown.started,Text_SS_Prac_CountDown.stopped,Score_SS_Prac_CountDown.started,Score_SS_Prac_CountDown.stopped,Line_SS_Prac_PreTrial.started,Line_SS_Prac_PreTrial.stopped,Score_SS_Prac_PreTrial.started,Score_SS_Prac_PreTrial.stopped,Circle_SS_Prac_PreTrial.started,Circle_SS_Prac_PreTrial.stopped,Ball_SS_Prac_PreTrial.started,Ball_SS_Prac_PreTrial.stopped,Line_SS_Prac_MainTrial.started,Line_SS_Prac_MainTrial.stopped,Score_SS_Prac_MainTrial.started,Score_SS_Prac_MainTrial.stopped,Ball_SS_Prac_MainTrial.started,Ball_SS_Prac_MainTrial.stopped,Resp_SS_Prac_MainTrial.keys,Resp_SS_Prac_MainTrial.rt,Resp_SS_Prac_MainTrial.started,Resp_SS_Prac_MainTrial.stopped,Practice,grp,go_color,default_color,block_num,dt,ct,key,rt,Correct,trial_Count,session,Sound_SS_Prac_PostTrial.started,Sound_SS_Prac_PostTrial.stopped,Line_SS_Prac_PostTrial.started,Line_SS_Prac_PostTrial.stopped,Image_SS_Prac_PostTrial.started,Image_SS_Prac_PostTrial.stopped,Score_SS_Prac_PostTrial.started,Score_SS_Prac_PostTrial.stopped,Ball_SS_Prac_PostTrial.started,Ball_SS_Prac_PostTrial.stopped,Resp_SS_Instr_PreTrial.rt,Instr_SS_Text.started,Instr_SS_Text.stopped,Instr_SS_Key.keys,Instr_SS_Key.rt,Instr_SS_Key.started,Instr_SS_Key.stopped,Text_Instr_Block_Num.started,Text_Instr_Block_Num.stopped,Resp_Instr_Block_Num.keys,Resp_Instr_Block_Num.rt,Resp_Instr_Block_Num.started,Resp_Instr_Block_Num.stopped,Line_SS_CountDown.started,Line_SS_CountDown.stopped,Text_SS_CountDown.started,Text_SS_CountDown.stopped,Line_SS_PreTrial.started,Line_SS_PreTrial.stopped,Circle_SS_PreTrial.started,Circle_SS_PreTrial.stopped,Ball_SS_PreTrial.started,Ball_SS_PreTrial.stopped,Line_SS_MainTrial.started,Line_SS_MainTrial.stopped,Ball_SS_MainTrial.started,Ball_SS_MainTrial.stopped,Resp_SS_MainTrial.keys,Resp_SS_MainTrial.rt,Resp_SS_MainTrial.started,Resp_SS_MainTrial.stopped,Sound_SS_PostTrial.started,Sound_SS_PostTrial.stopped,Line_SS_PostTrial.started,Line_SS_PostTrial.stopped,Image_SS_PostTrial.started,Image_SS_PostTrial.stopped,Ball_SS_PostTrial.started,Ball_SS_PostTrial.stopped,participant,session,date,expName,psychopyVersion,frameRate,
media/check.png,media/cross.png,media/coin.wav,media/buzz.wav,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1941,Stop_Signal_Drop,2020.1.3,59.97343176291655,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.170019400073215,None,space,4.146816199994646,8.170019400073215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1941,Stop_Signal_Drop,2020.1.3,59.97343176291655,
,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,26.252628799993545,None,26.252628799993545,None,26.252628799993545,None,26.252628799993545,None,26.252628799993545,None,26.252628799993545,None,26.252628799993545,None,None,26.252628799993545,None,26.870969300041907,None,26.870969300041907,None,26.870969300041907,None,26.870969300041907,None,26.870969300041907,None,26.870969300041907,None,j,0.3098691999912262,26.870969300041907,None,27.504680300015025,None,27.504680300015025,None,27.504680300015025,None,30.496474600047804,None,30.496474600047804,None,30.496474600047804,None,30.496474600047804,None,31.121882100007497,None,31.121882100007497,None,31.121882100007497,None,j,0.4907706999219954,31.121882100007497,None,1,0,"[1, 1, 1]","[1, 1, 1]",1,-98.5,99,j,0.4907706999219954,1,0,1,31.690934660029598,None,31.72180110006593,None,31.72180110006593,None,31.72180110006593,None,31.72180110006593,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1941,Stop_Signal_Drop,2020.1.3,59.97343176291655,
,,,,,,,,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.26432030007709,None,32.26432030007709,None,32.26432030007709,None,32.26432030007709,None,32.88426159997471,None,32.88426159997471,None,32.88426159997471,None,j,0.48060419992543757,32.88426159997471,None,1,0,"[1, 1, 1]","[1, 1, 1]",1,-98.5,99,j,0.48060419992543757,1,1,1,33.457661650085356,None,33.455438400036655,None,33.455438400036655,None,33.455438400036655,None,33.455438400036655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1941,Stop_Signal_Drop,2020.1.3,59.97343176291655,
,,,,,,,,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.98651850002352,None,33.98651850002352,None,33.98651850002352,None,33.98651850002352,None,34.598504599998705,None,34.598504599998705,None,34.598504599998705,None,j,0.5343610000563785,34.598504599998705,None,1,0,"[1, 1, 1]","[1, 1, 1]",1,-98.5,99,j,0.5343610000563785,1,2,1,35.20753696002066,None,35.204770800075494,None,35.204770800075494,None,35.204770800075494,None,35.204770800075494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1941,Stop_Signal_Drop,2020.1.3,59.97343176291655,
,,,,,,,,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.73262300004717,None,35.73262300004717,None,35.73262300004717,None,35.73262300004717,None,36.34965370001737,None,36.34965370001737,None,36.34965370001737,None,j,0.46484979998786,36.34965370001737,None,1,0,"[1, 1, 1]","[1, 1, 1]",1,-98.5,99,j,0.46484979998786,1,3,1,36.90657806000672,None,36.90355400007684,None,36.90355400007684,None,36.90355400007684,None,36.90355400007684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1941,Stop_Signal_Drop,2020.1.3,59.97343176291655,
,,,,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,51.32114030001685,None,51.32114030001685,None,51.32114030001685,None,51.32114030001685,None,51.32114030001685,None,51.32114030001685,None,51.32114030001685,None,j,51.32114030001685,None,51.94212820008397,None,51.94212820008397,None,51.94212820008397,None,51.94212820008397,None,51.94212820008397,None,51.94212820008397,None,None,,51.94212820008397,None,52.59844229998998,None,52.59844229998998,None,52.59844229998998,None,55.59446460008621,None,55.59446460008621,None,55.59446460008621,None,55.59446460008621,None,56.23686030006502,None,56.23686030006502,None,56.23686030006502,None,j,0.4813492000102997,56.23686030006502,None,1,0,"[1, 1, 1]","[1, 1, 1]",2,-98.5,99,j,0.4813492000102997,1,0,1,56.79455475998111,None,56.79920150001999,None,56.79920150001999,None,56.79920150001999,None,56.79920150001999,None,0.2837737000081688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1941,Stop_Signal_Drop,2020.1.3,59.97343176291655,
,,,,,,,,1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.347169600077905,None,57.347169600077905,None,57.347169600077905,None,57.347169600077905,None,57.97041760000866,None,57.97041760000866,None,57.97041760000866,None,j,0.4905952999833971,57.97041760000866,None,1,0,"[1, 1, 1]","[1, 1, 1]",2,-98.5,99,j,0.4905952999833971,1,1,1,58.540923360036686,None,58.53875800000969,None,58.53875800000969,None,58.53875800000969,None,58.53875800000969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1941,Stop_Signal_Drop,2020.1.3,59.97343176291655,
,,,,,,,,1,0,1,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.066712100058794,None,59.066712100058794,None,59.066712100058794,None,59.066712100058794,None,59.68291109998245,None,59.68291109998245,None,59.68291109998245,None,j,0.4180542000103742,59.68291109998245,None,1,0,"[1, 1, 1]","[1, 1, 1]",2,-98.5,99,j,0.4180542000103742,0,2,1,60.174748760065995,None,60.170832599978894,None,60.170832599978894,None,60.170832599978894,None,60.170832599978894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1941,Stop_Signal_Drop,2020.1.3,59.97343176291655,
,,,,,,,,1,0,1,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.700214600074105,None,60.700214600074105,None,60.700214600074105,None,60.700214600074105,None,61.31660520005971,None,61.31660520005971,None,61.31660520005971,None,j,0.520352500025183,61.31660520005971,None,1,0,"[1, 1, 1]","[1, 1, 1]",2,-98.5,99,j,0.520352500025183,1,3,1,61.907916360069066,None,61.90487780002877,None,61.90487780002877,None,61.90487780002877,None,61.90487780002877,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1941,Stop_Signal_Drop,2020.1.3,59.97343176291655,
